Time_s,Raw_Theta_deg
7.731202818205385086e+01,-4.529476074725136137e+00
7.732036101544272810e+01,-4.529476074725136137e+00
7.732869384883160535e+01,-2.160849570841821610e+00
7.733702668222049681e+01,-2.160849570841821610e+00
7.734535951560937406e+01,-2.160849570841821610e+00
7.735369234899825130e+01,-2.160849570841821610e+00
7.736202518238714276e+01,1.392736053778751426e+00
7.737035801577602001e+01,1.392736053778751426e+00
7.737869084916491147e+01,1.392736053778751426e+00
7.738702368255378872e+01,1.392736053778751426e+00
7.739535651594266596e+01,5.210014686249742510e+00
7.740368934933155742e+01,5.210014686249742510e+00
7.741202218272043467e+01,5.210014686249742510e+00
7.742035501610932613e+01,5.210014686249742510e+00
7.742868784949820338e+01,8.733463473603540805e+00
7.743702068288708062e+01,8.733463473603540805e+00
7.744535351627597208e+01,8.733463473603540805e+00
7.745368634966484933e+01,8.733463473603540805e+00
7.746201918305372658e+01,9.286222404940447461e+01
7.747035201644261804e+01,9.286222404940447461e+01
7.747868484983149528e+01,9.286222404940447461e+01
7.748701768322038674e+01,9.286222404940447461e+01
7.756201318372032461e+01,2.832893131116766838e+01
7.757034601710920185e+01,2.832893131116766838e+01
7.757867885049809331e+01,2.832893131116766838e+01
7.758701168388697056e+01,2.832893131116766838e+01
7.759534451727586202e+01,3.174915806855640099e+01
7.760367735066473927e+01,3.174915806855640099e+01
7.761201018405361651e+01,3.174915806855640099e+01
7.762034301744250797e+01,3.174915806855640099e+01
7.762867585083138522e+01,3.370862974014898583e+01
7.763700868422027668e+01,3.370862974014898583e+01
7.764534151760915393e+01,3.370862974014898583e+01
7.765367435099803117e+01,3.370862974014898583e+01
7.766200718438692263e+01,3.486883009306390591e+01
7.767034001777579988e+01,3.486883009306390591e+01
7.767867285116467713e+01,3.486883009306390591e+01
7.768700568455356859e+01,3.486883009306390591e+01
7.769533851794244583e+01,3.500118787429897793e+01
7.770367135133133729e+01,3.500118787429897793e+01
7.771200418472021454e+01,3.500118787429897793e+01
7.772033701810909179e+01,3.500118787429897793e+01
7.772866985149798325e+01,3.396356535991338887e+01
7.773700268488686049e+01,3.396356535991338887e+01
7.774533551827575195e+01,3.396356535991338887e+01
7.775366835166462920e+01,3.396356535991338887e+01
7.776200118505350645e+01,3.187147617884464523e+01
7.777033401844239791e+01,3.187147617884464523e+01
7.777866685183127515e+01,3.187147617884464523e+01
7.778699968522015240e+01,3.187147617884464523e+01
7.779533251860904386e+01,2.903480576369193500e+01
7.780366535199792111e+01,2.903480576369193500e+01
7.781199818538681257e+01,2.903480576369193500e+01
7.782033101877568981e+01,2.903480576369193500e+01
7.782866385216456706e+01,2.463575803839858835e+01
7.783699668555345852e+01,2.463575803839858835e+01
7.784532951894233577e+01,2.463575803839858835e+01
7.785366235233122723e+01,2.463575803839858835e+01
7.786199518572010447e+01,1.956216695521288429e+01
7.787032801910898172e+01,1.956216695521288429e+01
7.787866085249787318e+01,1.956216695521288429e+01
7.788699368588675043e+01,1.956216695521288429e+01
7.789532651927562767e+01,1.516675565686015226e+01
7.790365935266451913e+01,1.516675565686015226e+01
7.791199218605339638e+01,1.516675565686015226e+01
7.792032501944228784e+01,1.516675565686015226e+01
7.792865785283116509e+01,9.778265883761969590e+00
7.793699068622004233e+01,9.778265883761969590e+00
7.794532351960893379e+01,9.778265883761969590e+00
7.795365635299781104e+01,9.778265883761969590e+00
7.796198918638670250e+01,6.002271838261173720e+00
7.797032201977557975e+01,6.002271838261173720e+00
7.797865485316445699e+01,6.002271838261173720e+00
7.798698768655334845e+01,6.002271838261173720e+00
7.799532051994222570e+01,2.361480470953175814e+00
7.800365335333110295e+01,2.361480470953175814e+00
7.801198618671999441e+01,2.361480470953175814e+00
7.802031902010887165e+01,2.361480470953175814e+00
7.802865185349776311e+01,-1.346319265441498603e+00
7.803698468688664036e+01,-1.346319265441498603e+00
7.804531752027551761e+01,-1.346319265441498603e+00
7.805365035366440907e+01,-1.346319265441498603e+00
7.806198318705328631e+01,-4.276709133904782689e+00
7.807031602044217777e+01,-4.276709133904782689e+00
7.807864885383105502e+01,-4.276709133904782689e+00
7.808698168721993227e+01,-4.276709133904782689e+00
7.809531452060882373e+01,-5.720312974524104810e+00
7.810364735399770098e+01,-5.720312974524104810e+00
7.811198018738657822e+01,-5.720312974524104810e+00
7.812031302077546968e+01,-5.720312974524104810e+00
7.812864585416434693e+01,-6.058581414229569084e+00
7.813697868755323839e+01,-6.058581414229569084e+00
7.814531152094211564e+01,-6.058581414229569084e+00
7.815364435433099288e+01,-6.058581414229569084e+00
7.816197718771988434e+01,-5.139786793315653135e+00
7.817031002110876159e+01,-5.139786793315653135e+00
7.817864285449765305e+01,-5.139786793315653135e+00
7.818697568788653030e+01,-5.139786793315653135e+00
7.819530852127540754e+01,-2.969064876553822785e+00
7.820364135466429900e+01,-2.969064876553822785e+00
7.821197418805317625e+01,-2.969064876553822785e+00
7.822030702144205350e+01,-2.969064876553822785e+00
7.822863985483094496e+01,3.809882806247834597e-01
7.823697268821982220e+01,3.809882806247834597e-01
7.824530552160871366e+01,3.809882806247834597e-01
7.825363835499759091e+01,3.809882806247834597e-01
7.826197118838646816e+01,4.168103951887800918e+00
7.827030402177535962e+01,4.168103951887800918e+00
